cluster,param,mean,hdi_low,hdi_high
0,pi,1.0,1.0,1.0
0,r,7.754143375654508e-05,2.541225544208795e-06,0.0002064186848127604
0,alpha,0.8610469020487111,0.8361901153106353,0.884527175733939
0,lamb,1.004313241190396,0.8831625985674361,1.1223059710656762
0,gamma,0.6305697526650965,0.6192869011590895,0.6420758271892324
0,a1,0.29452455861091176,0.01499931145554405,0.5564333203270756
0,a2,0.2514368918235675,0.012304352596150467,0.5232935543594321
0,a3,0.14842230806263215,0.005055639533830998,0.35827943310999366
0,delta,1.0,1.0,1.0
0,a4,0.3056162415028887,0.27292307150390127,0.34072314972071577
