cluster,param,mean,hdi_low,hdi_high
0,pi,0.44374889578283655,0.3660285103411279,0.5572661403064854
0,r,0.0004750676020474094,1.0703356274625383e-06,0.0020229773472190404
0,alpha,1.3175953890184855,1.2107181844538115,1.4289023165005803
0,lamb,0.507088306089918,0.5005913573218107,0.5171483649829177
0,gamma,0.8241609246705193,0.6744088241472604,0.9510272345053086
0,a1,0.0026902605290093453,7.7997401487854e-06,0.00812563523586929
0,a2,0.003026461899831093,2.49003793266956e-07,0.008958846324840031
0,a3,0.0020300965362781234,2.3875034549571778e-06,0.006200208156724421
0,delta,0.4877506790486801,0.20048237080486847,0.9082481210012947
0,a4,0.9922531810348814,0.9853366247504435,0.9980777321209044
1,pi,0.5562511042171634,0.44273385969351475,0.6339714896588722
1,r,0.0001297972173401634,3.046743799368801e-06,0.0003483359306802447
1,alpha,1.1169280035259526,1.0325678641328648,1.194091834018281
1,lamb,1.2744719912400064,1.0953167973451423,1.4577691133586406
1,gamma,0.4887452103168257,0.45103096839735973,0.5176968266207357
1,a1,0.12203882737687424,0.00017182410368096648,0.3675858942157219
1,a2,0.2495890541078884,0.007239916314921396,0.5925553227016999
1,a3,0.5663478888290805,0.13326939840500693,0.9142461035238658
1,delta,0.4945788608183287,0.20001868151256474,0.9077021067438779
1,a4,0.062024229686156764,0.00011073922846953384,0.15763012192191714
