cluster,component,mean,hdi_low,hdi_high
0,SQ,0.003986824654600204,5.100518594996584e-05,0.010843147172347849
0,PA,0.004149538523260752,1.773891525827323e-05,0.01144069984900263
0,LE,0.003527612042102575,6.194166364908562e-05,0.00973235828527509
0,FE,0.9883360247800365,0.9782852315073892,0.9969574310942402
1,SQ,0.13144581362991647,0.002426246946110839,0.36664445022953096
1,PA,0.6674629722022738,0.18470669353204006,0.9854001850739849
1,LE,0.1775754542439586,0.0008247917783294137,0.6441813481734706
1,FE,0.02351575992385109,8.146392501493626e-05,0.07069450250389213
